Datetime,Ticker,Industry,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Income,Non-Operating Income Loss,Pretax Income,Income Tax Expense,Net Extraordinary Losses,Net Income,"Basic EPS, GAAP",Diluted Weighted Avr # of Shares,"Diluted EPS, GAAP",EBITDA,Trailing 12M EBITDA Margin,Gross Margin,Operating Margin,Profit Margin,Dividends per Share,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Non-Cash Working Capital,Change in Accounts & Notes Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Cash from Operating Activities,Change in Fixed & Intangible Assets,Acquisition of Fixed & Intangibles,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash from Repaid Debt,Cash from Repurchase of Equity,Other Financing Activities,Cash from Financing Activities,Net Changes in Cash,Free Cash Flow,Free Cash Flow per Basic Share,Price to Free Cash Flow,Cash Flow to Net Income,"Cash, Cash Equivalents & STI",Accounts & Notes Receivable,Inventories,"Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Net Debt,Cash Conversion Cycle,Number of Employees,Last Price,Sales Actual,Net Income Actual,Enterprise Value,Price to Book,P/E,Shares Outstanding,Capital Expenditures,Personal Consumption Expenditures,CPI Urban Consumers YOY,ISM Manufacturing,Change in Nonfarm Payrolls,Unemployment Rate,Housing Starts,US Trade Balance
2000-01-11,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,16.176,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.828,1336,111,11704.1069,3.5069,32.8239,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-12,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,15.2059,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.778,1336,111,10809.6625,3.2966,30.8553,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-13,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,16.8737,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.864,1336,111,12347.3029,3.6582,34.2395,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-14,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-15,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-16,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-17,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-18,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.1272,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.928,1336,111,13503.0456,3.9299,36.7831,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-19,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.585,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.951,1336,111,13925.143,4.0292,37.7121,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-20,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.7949,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.013,1336,111,15040.686,4.2915,40.1672,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-21,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.4134,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.994,1336,111,14688.9382,4.2088,39.3931,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-22,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.4134,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.994,1336,111,14688.9382,4.2088,39.3931,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-23,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.4134,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.994,1336,111,14688.9382,4.2088,39.3931,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-24,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.5305,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.949,1336,111,13874.8933,4.0174,37.6015,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-25,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.5769,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.002,1336,111,14839.6873,4.2442,39.7249,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-26,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.2172,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.984,1336,111,14508.0394,4.1663,38.9949,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-27,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.1845,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.982,1336,111,14477.8896,4.1592,38.9286,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-28,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.7239,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.907,1336,111,13131.198,3.8425,35.9647,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-29,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.7239,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.907,1336,111,13131.198,3.8425,35.9647,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-30,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.7239,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.907,1336,111,13131.198,3.8425,35.9647,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-31,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.0945,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.926,1336,111,13472.8958,3.9228,36.7167,18009.488,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-01,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.4841,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.895,1336,111,12952.7059,3.7905,35.4781,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-02,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.2334,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.882,1336,111,12720.9464,3.7362,34.9694,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-03,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.0182,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.922,1336,111,13446.4544,3.9063,36.5619,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-04,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.8357,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.964,1336,111,14202.1919,4.0835,38.2208,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-05,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.8357,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.964,1336,111,14202.1919,4.0835,38.2208,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-06,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.8357,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.964,1336,111,14202.1919,4.0835,38.2208,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-07,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.893,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.018,1336,111,15179.6124,4.3128,40.3663,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-08,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,20.0347,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.026,1336,111,15310.6069,4.3435,40.6538,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-09,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.6423,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.006,1336,111,14947.8529,4.2584,39.8576,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-10,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.7949,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.013,1336,111,15088.9239,4.2915,40.1672,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-11,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.9665,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.971,1336,111,14323.1099,4.1119,38.4862,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-12,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.9665,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.971,1336,111,14323.1099,4.1119,38.4862,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-13,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.9665,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.971,1336,111,14323.1099,4.1119,38.4862,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-14,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,20.1982,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.034,1336,111,15461.7544,4.3789,40.9856,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
2000-02-15,AAPL,Technology,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,20.7542,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.063,1336,111,15975.6559,4.4995,42.1137,18057.088,-38,0.24,2.7,56.7,234,4,1636,-27.131
