number,batch_size,corr_thresh,float_precision,limit_train_batches,log_every_n_steps,lstm_layers,max_epochs,max_prediction_length,n_splits,name,pct,reduce_on_plateau_patience,scaling_method,target,train_test_pct,val_MAPE,val_RMSE,attention_head_size,dropout,gradient_clip_val,hidden_continuous_size,hidden_size,learning_rate,duration,ckpt_path,max_encoder_length,max_study_epochs,max_train_epochs,train_loss,train_loss_epoch,train_loss_step,val_MAE,val_SMAPE,val_loss
155,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0786179825663566,12.828664779663086,16.0,0.1893805449275534,0.3618443303743346,53.0,100.0,0.0376590321961207,0 days 00:03:35.654319,,,,,,,,,,
151,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0786664932966232,15.035426139831545,10.0,0.1084143966008846,0.6756474781994248,53.0,62.0,0.0517443776555048,0 days 00:03:38.759517,,,,,,,,,,
113,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0793312788009643,12.939080238342283,15.0,0.1140526785023838,0.5824321358855448,3.0,40.0,0.0782530367865766,0 days 00:03:29.568673,,,,,,,,,,
11,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0798416957259178,12.965686798095703,12.0,0.1093591292699346,0.8973107430624565,1.0,11.0,0.6851077567013152,0 days 00:03:31.097962,,,,,,,,,,
32,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0800069496035575,12.995404243469238,12.0,0.1840086768740692,0.7205727617072027,21.0,40.0,0.0705843533701425,0 days 00:03:39.120879,,,,,,,,,,
41,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0803345516324043,13.036490440368652,5.0,0.1595980685777291,0.3102674644297404,58.0,81.0,0.1419434281493281,0 days 00:24:14.231802,,,,,,,,,,
119,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0808057114481926,13.112465858459473,12.0,0.1372244268128141,0.3600563733941295,5.0,29.0,0.096021717671345,0 days 00:03:31.524869,,,,,,,,,,
147,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0811923220753669,13.169184684753418,11.0,0.1467758538400344,0.2054813315524236,7.0,22.0,0.0280751255355511,0 days 00:03:31.709735,,,,,,,,,,
196,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0813136920332908,13.175863265991213,14.0,0.1884938784941944,0.2965046167999624,64.0,70.0,0.2644719331071528,0 days 00:03:39.456884,,,,,,,,,,
34,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.081532634794712,13.206419944763184,4.0,0.1536342319999405,0.5081767139787635,36.0,71.0,0.1866875634766625,0 days 00:03:39.852041,,,,,,,,,,
135,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0817312151193618,13.232131004333496,15.0,0.1965572661323301,0.5034792135577636,48.0,53.0,0.1048377554118506,0 days 00:03:38.808497,,,,,,,,,,
174,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0822461694478988,13.32747745513916,15.0,0.1112023664075192,0.1231857459828578,2.0,12.0,0.0657083867136048,0 days 00:03:28.983001,,,,,,,,,,
92,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0829965323209762,13.42662239074707,16.0,0.1398491134467224,0.4757679152127805,17.0,85.0,0.08401386702677,0 days 00:03:33.074451,,,,,,,,,,
84,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0830497071146965,15.641536712646484,15.0,0.148122618563546,0.3232024031514743,6.0,7.0,0.0383882512092809,0 days 00:03:28.817939,,,,,,,,,,
61,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0832386687397956,13.462255477905272,3.0,0.1361067500125265,0.4114575618736928,12.0,55.0,0.0944354584970904,0 days 00:03:32.817776,,,,,,,,,,
30,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0837188214063644,13.525520324707031,15.0,0.1002960924188906,0.3113898825020504,6.0,22.0,0.0085646880964821,0 days 00:03:29.428046,,,,,,,,,,
15,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0837766900658607,15.808175086975098,12.0,0.1324594797359852,0.1439759550605258,1.0,1.0,0.3817507789882521,0 days 00:03:19.991774,,,,,,,,,,
136,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0841028615832328,15.821695327758787,15.0,0.1983448945516855,0.1690208415816048,25.0,28.0,0.0151043450322452,0 days 00:03:32.031585,,,,,,,,,,
30,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0848081186413765,13.6868257522583,8.0,0.1625893011362607,0.3442303733225506,6.0,29.0,0.1099311852584003,0 days 00:03:36.710883,,,,,,,,,,
31,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0857065171003341,13.809344291687012,10.0,0.1843159113295665,0.9953196656688568,6.0,15.0,0.2464823290813347,0 days 00:03:37.351575,,,,,,,,,,
98,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0865324214100837,13.941150665283203,7.0,0.1382297651184987,0.4312759986234268,34.0,44.0,0.3695710677992592,0 days 00:03:37.362526,,,,,,,,,,
65,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0867197141051292,13.970443725585938,9.0,0.143014525907537,0.4603734776435953,3.0,5.0,0.5246900246876471,0 days 00:03:31.718104,,,,,,,,,,
144,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0878200605511665,14.13524341583252,11.0,0.1231626113424746,0.8113812275983867,42.0,48.0,0.5382650836162913,0 days 00:03:37.984927,,,,,,,,,,
168,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.088690735399723,14.291327476501465,13.0,0.124417749896538,0.3914351134624426,26.0,27.0,0.0659940012075476,0 days 00:03:37.183286,,,,,,,,,,
12,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0891401395201683,16.560937881469727,12.0,0.1917015706563356,0.3658261216275751,47.0,90.0,0.7890630605841422,0 days 00:03:36.503662,,,,,,,,,,
188,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0891424566507339,14.340980529785156,12.0,0.1631113656983073,0.3868752572344125,16.0,57.0,0.0594265351790084,0 days 00:03:34.835596,,,,,,,,,,
15,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0897709727287292,14.42949104309082,9.0,0.1845008428369661,0.0623434267537697,2.0,15.0,0.919518044736484,0 days 00:03:26.902342,,,,,,,,,,
90,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0910924822092056,14.618892669677734,15.0,0.1349415475635784,0.5143190648314248,1.0,31.0,0.0145163486427642,0 days 00:03:27.409446,,,,,,,,,,
13,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0912047773599624,14.665423393249512,12.0,0.1045479562218205,0.9945659246142248,2.0,19.0,0.0387326705099571,0 days 00:03:32.747539,,,,,,,,,,
104,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0913555026054382,14.662922859191896,6.0,0.1172557008521463,0.7922577599566377,65.0,83.0,0.7045484868034199,0 days 00:03:40.341935,,,,,,,,,,
43,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0925656110048294,14.871935844421388,6.0,0.1758566391413223,0.2215026430817575,96.0,100.0,0.2435618201942279,0 days 00:03:41.754363,,,,,,,,,,
54,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0936114639043808,15.000028610229492,15.0,0.1683024100408854,0.3229966091057283,9.0,78.0,0.1223774541919233,0 days 00:03:34.095698,,,,,,,,,,
138,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0936987325549125,15.103561401367188,16.0,0.1605075859350556,0.3217249018719346,11.0,64.0,0.045061967779022,0 days 00:03:32.105060,,,,,,,,,,
40,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0937126725912094,15.014762878417969,8.0,0.171152852443139,0.4394734712748407,27.0,52.0,0.5640854914825169,0 days 00:03:38.257741,,,,,,,,,,
162,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0937705263495445,17.274856567382812,16.0,0.2756144411182967,0.0193790034288538,5.0,6.0,0.0175649287131418,0 days 00:03:28.357896,,,,,,,,,,
112,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0937977060675621,15.033838272094728,14.0,0.1033483345015478,0.6054525741093436,61.0,70.0,0.4066962670676339,0 days 00:03:41.347125,,,,,,,,,,
