Datetime,Ticker,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Income,Non-Operating Income Loss,Pretax Income,Income Tax Expense,Net Extraordinary Losses,Net Income,"Basic EPS, GAAP",Diluted Weighted Avr # of Shares,"Diluted EPS, GAAP",EBITDA,Trailing 12M EBITDA Margin,Gross Margin,Operating Margin,Profit Margin,Dividends per Share,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Non-Cash Working Capital,Change in Accounts & Notes Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Cash from Operating Activities,Change in Fixed & Intangible Assets,Acquisition of Fixed & Intangibles,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash from Repaid Debt,Cash from Repurchase of Equity,Other Financing Activities,Cash from Financing Activities,Net Changes in Cash,Free Cash Flow,Free Cash Flow per Basic Share,Price to Free Cash Flow,Cash Flow to Net Income,"Cash, Cash Equivalents & STI",Accounts & Notes Receivable,Inventories,"Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Net Debt,Cash Conversion Cycle,Number of Employees,Last Price,Sales Actual,Net Income Actual,Enterprise Value,Price to Book,P/E,Shares Outstanding,Capital Expenditures,Personal Consumption Expenditures,CPI Urban Consumers YOY,ISM Manufacturing,Change in Nonfarm Payrolls,Unemployment Rate,Housing Starts,US Trade Balance
2001-08-25,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.332,1475,61,2613.5864,1.687,112.5045,19645.495,-30,0.26,2.7,43.5,-125,4.6,1670,-29.902
2001-08-26,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.332,1475,61,2613.5864,1.687,112.5045,19645.495,-30,0.26,2.7,43.5,-125,4.6,1670,-29.902
2001-08-27,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.338,1475,61,2736.3708,1.7188,114.625,19645.495,-30,0.26,2.7,43.5,-125,4.6,1670,-29.902
2001-08-28,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.329,1475,61,2553.9483,1.6715,111.4746,19645.495,-30,0.26,2.7,43.5,-125,4.6,1670,-29.902
2001-08-29,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.318,1475,61,2353.9852,1.6197,108.0213,19645.495,-30,0.26,2.7,43.5,-125,4.6,1670,-29.902
2001-08-30,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.318,1475,61,2353.9852,1.6197,108.0213,19645.495,-30,0.26,2.7,43.5,-125,4.6,1670,-29.902
2001-08-31,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.331,1475,61,2606.5702,1.6851,112.3834,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-01,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.331,1475,61,2606.5702,1.6851,112.3834,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-02,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.331,1475,61,2606.5702,1.6851,112.3834,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-03,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.331,1475,61,2606.5702,1.6851,112.3834,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-04,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.326,1475,61,2501.3265,1.6579,110.5659,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-05,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.331,1475,61,2606.5702,1.6851,112.3834,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-06,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.316,1475,61,2315.3959,1.6097,107.3549,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-07,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.309,1475,61,2161.0384,1.5698,104.6892,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-08,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.309,1475,61,2161.0384,1.5698,104.6892,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-09,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.309,1475,61,2161.0384,1.5698,104.6892,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-10,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-11,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-12,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-13,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-14,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-15,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-16,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.31,1475,61,2192.6115,1.578,105.2345,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
2001-09-17,AAPL,1475,1041,434,0,42,-45,87,26,0,61,0.003,20099.0713,0.003,68,-3.6659,29.4237,2.8475,4.1356,0,26,7,-92,7,-127,512,12,-520,-127,-33,-30,-30,-92,10,0,0,6,0,6,-17,-63,-0.0032,29.632,-0.541,4218,598,19,347,146,330,823,6071,847,0,767,1614,317,282,599,2213,1673,2185,3858,3858,6071,-3901,-25.56,6960,0.303,1475,61,2059.3028,1.5434,102.9323,19645.495,-30,0.05,2.7,46.3,-144,4.9,1567,-28.094
